sequenceID,llambda,total_labels,err
1.1,-5.0,1,1
1.11,-5.0,1,1
1.15,5.0,1,0
1.6,5.0,1,0
1.9,5.0,1,0
106.11,-5.0,1,1
106.17,-5.0,1,1
106.5,-5.0,1,1
106.6,-5.0,1,1
106.9,5.0,1,0
109.2,-5.0,1,1
109.8,5.0,1,0
11.1,5.0,1,0
11.4,5.0,1,0
12.1,-5.0,1,1
12.11,-5.0,1,1
12.17,-5.0,1,1
12.2,-5.0,1,1
12.6,-5.0,1,1
12.X,-5.0,2,2
128.12,-5.0,1,1
128.17,-5.0,1,1
128.2,-5.0,1,1
128.3,-5.0,1,1
128.6,-5.0,1,1
138.1,-5.0,1,1
139.3,-5.0,1,1
139.4,-5.0,1,1
139.7,-5.0,1,1
145.1,5.0,1,0
145.17,5.0,1,0
145.19,-5.0,1,1
145.2,5.0,1,0
145.3,5.0,1,0
145.4,-5.0,1,1
145.6,5.0,1,0
145.7,5.0,1,0
149.1,-5.0,1,1
149.11,5.0,1,0
149.2,5.0,1,0
149.6,-5.0,1,1
153.11,5.0,1,0
153.17,-5.0,1,1
153.18,-5.0,1,1
153.2,-5.0,1,1
153.4,-5.0,1,1
153.7,-5.0,1,1
162.1,-5.0,1,1
162.11,-5.0,1,1
162.17,-5.0,1,1
162.19,-5.0,1,1
162.22,5.0,1,0
162.3,-5.0,2,2
162.5,-5.0,1,1
162.7,-5.0,1,1
162.8,5.0,1,0
17.1,-5.0,1,1
17.11,-5.0,2,2
172.1,-5.0,1,1
172.17,-5.0,1,1
172.3,-5.0,1,1
172.4,-5.0,1,1
173.11,-5.0,1,1
173.15,-5.0,1,1
173.16,-5.0,1,1
173.19,5.0,1,0
173.4,5.0,1,0
173.8,-5.0,1,1
188.1,-5.0,1,1
188.2,5.0,1,0
188.3,-5.0,1,1
188.6,5.0,1,0
188.9,-5.0,1,1
189.1,-5.0,1,1
189.11,-5.0,1,1
189.15,-5.0,1,1
189.17,-5.0,1,1
189.18,-5.0,1,1
189.2,-5.0,1,1
189.20,-5.0,1,1
189.3,5.0,1,0
189.5,-5.0,1,1
189.X,5.0,1,0
2.1,-5.0,1,1
