sequenceID,llambda,total_labels,err
1.1,5.0,2,1
1.11,1.0,1,0
1.15,0.5,1,1
1.6,0.5,1,0
1.9,1.5,1,1
106.11,5.0,2,0
106.17,5.0,2,0
106.5,5.0,2,0
106.6,5.0,2,0
106.9,-0.5,1,0
109.2,5.0,1,0
109.8,0.5,1,1
11.1,1.0,1,0
11.4,0.5,1,1
12.1,0.5,2,0
12.11,5.0,2,0
12.17,5.0,2,0
12.2,5.0,2,0
12.6,0.5,2,0
12.X,0.5,3,1
128.12,3.5,2,0
128.17,5.0,2,0
128.2,5.0,2,0
128.3,5.0,2,0
128.6,4.0,2,0
138.1,4.5,2,0
139.3,5.0,2,0
139.4,5.0,1,0
139.7,0.5,2,0
145.1,1.5,1,1
145.17,1.5,1,1
145.19,5.0,1,0
145.2,0.5,1,0
145.3,1.0,1,1
145.4,0.5,2,1
145.6,0.5,2,2
145.7,-0.5,1,0
149.1,5.0,1,0
149.11,0.0,1,0
149.2,0.5,2,2
149.6,-0.5,2,1
153.11,1.0,1,1
153.17,1.5,2,0
153.18,5.0,2,0
153.2,5.0,2,0
153.4,1.5,2,0
153.7,1.5,2,0
162.1,1.5,1,0
162.11,0.5,2,0
162.17,1.5,2,0
162.19,5.0,1,0
162.22,-0.5,1,0
162.3,0.5,3,1
162.5,1.0,2,0
162.7,5.0,2,0
162.8,0.5,1,1
17.1,5.0,2,0
17.11,0.0,2,1
172.1,5.0,1,0
172.17,4.5,2,0
172.3,5.0,2,0
172.4,5.0,2,0
173.11,5.0,2,0
173.15,5.0,1,0
173.16,5.0,2,0
173.19,5.0,1,1
173.4,0.0,1,0
173.8,5.0,2,0
188.1,5.0,2,0
188.2,0.5,1,0
188.3,5.0,2,0
188.6,-0.5,1,0
188.9,0.0,1,0
189.1,5.0,1,0
189.11,5.0,2,0
189.15,1.0,2,0
189.17,5.0,2,0
189.18,-0.5,2,0
189.2,5.0,1,0
189.20,0.5,1,0
189.3,-2.0,1,1
189.5,5.0,2,0
189.X,0.5,1,1
2.1,5.0,2,0
2.19,0.0,1,0
20003.2,3.0,2,2
20005.2,2.5,4,3
20005.3,3.5,3,2
20033.11,3.5,2,1
20052.3,5.0,2,1
20082.22,3.5,2,2
20090.20,3.5,2,1
20092.19,5.0,1,0
20105.22,5.0,2,1
20108.20,3.5,2,2
20109.20,4.0,2,1
20118.2,3.5,5,3
20119.2,3.5,2,2
20121.14,2.0,2,2
20121.7,2.5,2,1
20124.1,3.5,1,1
20124.16,3.5,1,1
20124.2,3.0,1,1
20124.3,5.0,2,0
20129.20,3.0,2,1
20133.X,1.5,3,2
20134.X,2.5,3,2
20135.14,2.5,3,1
20136.17,5.0,2,1
20138.1,5.0,2,0
20139.12,5.0,2,1
20139.16,5.0,3,2
20139.17,3.5,2,2
20139.3,3.5,1,1
20139.4,2.0,2,2
20139.5,1.5,2,1
20140.14,1.5,2,1
20140.15,5.0,2,1
20141.12,5.0,2,1
20141.14,3.0,2,1
20141.5,2.5,2,1
20142.18,5.0,1,0
20142.22,0.5,4,4
20143.X,3.0,3,3
20144.14,2.0,3,2
20144.9,4.0,2,1
20145.1,5.0,2,1
20145.10,0.5,2,1
20145.12,5.0,2,1
20145.14,1.5,2,1
20145.4,3.5,2,1
20145.8,3.5,2,1
20145.9,4.0,3,2
20145.X,-1.0,3,1
20146.17,4.0,1,1
20146.4,1.0,2,1
20148.1,2.5,3,2
20151.14,1.5,3,3
20151.17,3.5,1,1
20154.4,2.0,3,2
20154.9,3.5,2,1
20157.11,3.0,3,2
20158.1,3.5,2,0
20158.9,2.0,3,2
20159.1,2.5,6,4
20159.14,1.5,2,1
20159.15,2.5,2,1
20159.3,2.0,3,1
20159.4,3.5,5,3
20159.9,2.0,2,2
20160.14,4.0,2,1
20160.17,3.5,2,1
20160.4,3.0,2,1
20160.5,2.0,2,2
20161.1,2.5,2,1
20161.12,5.0,2,1
20161.22,3.0,2,1
20162.12,1.0,2,1
20162.17,3.5,1,1
20162.7,3.0,3,2
20163.1,0.5,2,2
20163.7,3.0,3,2
20163.9,1.0,5,4
20164.1,2.5,4,3
20164.14,2.5,2,1
20164.4,5.0,2,1
20165.15,5.0,2,0
20165.22,2.0,3,2
20165.4,2.5,2,1
20166.12,2.0,2,1
20166.17,3.0,2,1
20166.4,1.5,3,3
20167.22,1.0,4,4
20167.4,2.0,3,3
20168.11,0.5,3,3
20168.16,3.5,2,1
20168.17,4.0,2,2
20168.19,5.0,2,0
20168.4,3.5,2,1
20169.10,5.0,2,1
20169.14,1.5,2,2
20169.9,2.5,2,1
20170.17,4.5,2,0
20171.12,1.5,2,1
20171.16,5.0,4,2
20171.17,1.5,2,1
20172.20,1.5,6,5
20172.3,3.5,4,3
20173.19,1.0,2,1
20177.20,3.0,2,1
20178.20,3.5,2,1
20183.20,5.0,2,1
20184.22,3.0,2,1
20186.22,2.5,2,1
204.2,5.0,1,0
207.10,0.0,3,0
207.12,5.0,2,0
207.15,1.5,2,0
207.17,5.0,2,0
207.18,0.0,1,0
207.4,0.0,2,0
207.5,0.0,2,0
217.17,5.0,1,0
219.2,0.5,1,1
219.5,1.0,1,0
220.11,1.0,2,0
220.17,1.0,2,0
220.19,-1.5,1,0
220.2,5.0,2,0
220.20,5.0,2,0
220.7,5.0,2,0
226.1,5.0,2,0
227.1,5.0,2,0
227.2,1.0,2,0
227.4,1.0,2,0
247.1,0.0,2,0
247.11,5.0,2,0
247.20,-0.5,1,0
247.4,0.5,1,0
247.X,0.0,2,0
257.1,5.0,2,0
257.10,5.0,1,0
257.17,5.0,2,0
26.11,1.0,2,0
26.17,0.5,1,0
26.4,-1.0,2,0
26.8,3.0,2,0
268.3,2.0,1,0
270.11,5.0,1,0
273.17,1.5,2,0
273.6,0.5,2,0
275.1,5.0,2,0
275.2,0.0,2,0
294.1,5.0,2,0
30001.3,2.5,4,2
30001.8,2.5,1,1
30011.11,4.5,3,1
30011.13,5.0,1,0
30011.15,2.5,1,1
30011.2,4.0,2,1
30011.22,3.0,3,2
30011.7,5.0,3,1
30011.8,3.0,2,1
30016.6,3.5,4,3
30020.4,4.5,3,2
30022.12,2.5,1,1
30022.17,3.5,1,1
30022.9,2.5,3,2
30023.17,1.5,2,1
30023.9,5.0,2,1
30024.17,3.5,1,1
30024.4,4.0,2,1
30024.6,4.0,2,1
311.1,0.5,1,0
311.11,2.5,1,0
311.15,5.0,2,0
311.16,2.5,2,0
311.20,3.0,1,0
311.7,5.0,2,0
314.1,5.0,2,0
314.5,1.5,1,0
314.8,5.0,1,0
316.1,5.0,1,0
316.10,0.5,1,0
316.12,0.0,1,0
316.15,5.0,2,0
316.20,-0.5,1,0
316.7,1.0,2,0
329.11,-0.5,1,0
329.17,5.0,2,0
329.18,-0.5,1,0
329.4,1.0,2,1
329.6,0.5,1,0
329.8,3.0,1,0
33.1,5.0,1,0
33.3,0.0,2,0
33.6,1.0,1,1
33.7,5.0,1,0
330.1,1.5,2,0
330.16,5.0,1,0
330.17,5.0,2,0
331.1,1.0,1,0
331.11,0.5,3,0
331.12,5.0,2,0
331.16,1.0,1,1
331.17,0.0,3,1
331.2,0.0,1,0
331.20,1.5,1,0
331.4,1.0,3,1
331.5,5.0,1,0
331.6,1.0,2,1
332.1,1.5,1,1
332.18,0.5,1,1
332.6,5.0,2,0
332.7,5.0,2,0
340.1,0.5,1,0
340.6,3.0,2,0
340.9,1.5,1,0
341.1,5.0,2,0
349.1,0.0,1,0
349.17,5.0,1,0
349.2,0.0,1,0
352.17,5.0,2,0
352.3,5.0,2,0
360.1,1.0,1,0
364.2,0.5,2,0
371.10,5.0,1,0
371.14,5.0,1,0
371.17,4.0,2,0
373.14,5.0,1,0
375.1,0.5,1,0
375.12,5.0,1,0
375.3,5.0,2,0
375.4,1.0,1,1
375.7,1.0,2,0
378.1,1.0,3,0
378.10,5.0,1,0
378.11,5.0,2,0
378.7,2.5,2,0
39.1,2.0,1,0
39.11,0.0,2,0
39.20,0.5,1,1
39.8,-0.5,2,0
419.11,3.5,2,0
421.5,0.5,2,0
429.11,5.0,1,0
429.17,1.0,1,1
429.5,0.5,2,0
44.17,0.5,1,0
44.19,5.0,1,0
44.3,0.5,2,0
44.5,5.0,2,0
44.7,5.0,2,0
441.11,1.0,2,0
446.1,0.0,2,0
446.10,5.0,1,0
446.11,4.5,1,0
446.17,3.0,2,0
446.2,1.0,1,1
446.3,0.5,1,1
446.8,4.0,1,0
464.2,3.5,2,0
470.1,4.5,1,0
470.17,1.0,1,1
479.11,-0.5,2,0
479.17,5.0,2,0
482.5,0.5,2,0
482.8,0.5,2,1
487.11,3.5,2,0
487.17,5.0,2,0
487.4,0.0,1,0
487.6,5.0,2,0
50.13,-0.5,1,0
50.14,-0.5,1,0
50.2,0.0,1,0
50.6,-1.0,2,0
508.1,5.0,1,1
508.2,5.0,1,0
513.7,5.0,2,0
516.1,5.0,2,0
516.2,5.0,2,0
522.1,0.0,1,0
522.11,5.0,2,0
522.17,5.0,2,0
522.21,5.0,1,0
522.3,0.5,2,0
522.4,5.0,2,0
544.17,5.0,2,0
544.2,0.0,3,1
545.17,0.5,1,0
57.1,0.5,2,1
57.12,5.0,1,0
57.13,1.0,1,0
57.14,0.5,1,0
57.16,0.5,2,0
57.17,0.5,1,0
57.5,0.5,1,0
57.7,2.5,1,0
57.8,1.0,1,1
586.1,5.0,1,0
587.1,5.0,2,0
587.17,5.0,2,0
591.1,5.0,1,0
592.1,0.0,1,0
592.2,5.0,1,0
592.3,0.5,1,0
593.11,5.0,2,0
66.1,0.0,2,1
66.17,5.0,2,0
66.21,5.0,1,0
66.5,5.0,2,0
67.19,0.0,2,1
79.5,5.0,2,0
8.1,0.5,2,0
8.11,5.0,2,0
8.12,2.0,1,0
8.17,5.0,2,0
8.18,5.0,2,0
8.2,5.0,2,0
8.20,1.0,2,0
8.7,5.0,1,0
9.1,5.0,1,0
91.12,5.0,2,0
91.17,2.0,2,0
91.7,-0.5,2,0
91.X,1.5,2,0
94.11,5.0,2,0
94.16,2.0,1,0
94.17,5.0,2,0
94.3,5.0,2,0
94.4,5.0,2,0
96.10,1.0,1,1
96.14,-1.5,1,0
