sequenceID,llambda,total_labels,err
1.1,-1.0,2,1
1.11,-1.0,1,0
1.15,-1.0,1,0
1.6,-1.0,1,1
1.9,-1.0,1,1
106.11,-1.0,2,2
106.17,-1.0,2,1
106.5,-1.0,2,2
106.6,-1.0,2,0
106.9,-1.0,1,0
109.2,-1.0,1,1
109.8,-1.0,1,0
11.1,-1.0,1,1
11.4,-1.0,1,1
12.1,-1.0,2,1
12.11,-1.0,2,1
12.17,-1.0,2,1
12.2,-1.0,2,0
12.6,-1.0,2,0
12.X,-1.0,3,1
128.12,-1.0,2,1
128.17,-1.0,2,1
128.2,-1.0,2,0
128.3,-1.0,2,1
128.6,-1.0,2,0
138.1,-1.0,2,2
139.3,-1.0,2,0
139.4,-1.0,1,0
139.7,-1.0,2,1
145.1,-1.0,1,0
145.17,-1.0,1,1
145.19,-0.5,1,0
145.2,-1.0,1,0
145.3,-1.0,1,1
145.4,-1.0,2,0
145.6,-1.0,2,0
145.7,-1.0,1,0
149.1,-1.0,1,1
149.11,-1.0,1,0
149.2,-1.0,2,1
149.6,-1.0,2,0
153.11,-1.0,1,1
153.17,-1.0,2,1
153.18,-1.0,2,0
153.2,-1.0,2,1
153.4,-1.0,2,0
153.7,-1.0,2,1
162.1,-1.0,1,1
162.11,-1.0,2,1
162.17,-1.0,2,0
162.19,-0.5,1,0
162.22,-1.0,1,1
162.3,-1.0,3,1
162.5,-1.0,2,1
162.7,-1.0,2,0
162.8,-1.0,1,1
17.1,-1.0,2,0
17.11,-1.0,2,0
172.1,-1.0,1,1
172.17,-1.0,2,0
172.3,-1.0,2,0
172.4,-1.0,2,0
173.11,-1.0,2,1
173.15,-1.0,1,0
173.16,-1.0,2,0
173.19,-0.5,1,1
173.4,-1.0,1,0
173.8,-1.0,2,1
188.1,-1.0,2,1
188.2,-1.0,1,1
188.3,-1.0,2,1
188.6,-1.0,1,0
188.9,-1.0,1,0
189.1,-1.0,1,1
189.11,-1.0,2,1
189.15,-1.0,2,0
189.17,-1.0,2,1
189.18,-1.0,2,0
189.2,-1.0,1,0
189.20,-1.0,1,0
189.3,-1.0,1,0
189.5,-1.0,2,0
189.X,-1.0,1,1
2.1,-1.0,2,1
2.19,-1.0,1,0
20003.2,-1.0,2,2
20005.2,-1.0,4,4
20005.3,-1.0,3,3
20033.11,-1.0,2,2
20052.3,-1.0,2,2
20082.22,-1.0,2,2
20090.20,-1.0,2,2
