sequenceID,llambda,total_labels,err
1.1,5.0,2,1
1.11,5.0,1,0
1.15,5.0,1,1
1.6,5.0,1,1
1.9,5.0,1,1
106.11,5.0,2,0
106.17,5.0,2,0
106.5,5.0,2,0
106.6,5.0,2,0
106.9,5.0,1,1
109.2,5.0,1,0
109.8,5.0,1,1
11.1,5.0,1,1
11.4,5.0,1,1
12.1,5.0,2,1
12.11,5.0,2,0
12.17,5.0,2,0
12.2,5.0,2,0
12.6,5.0,2,0
12.X,5.0,3,1
128.12,5.0,2,0
128.17,5.0,2,0
128.2,5.0,2,0
128.3,5.0,2,0
128.6,5.0,2,0
138.1,5.0,2,0
139.3,5.0,2,0
139.4,5.0,1,0
139.7,5.0,2,0
145.1,5.0,1,1
145.17,5.0,1,1
145.19,5.0,1,0
145.2,5.0,1,1
145.3,5.0,1,1
145.4,5.0,2,1
145.6,5.0,2,2
145.7,5.0,1,1
149.1,5.0,1,0
149.11,5.0,1,1
149.2,5.0,2,2
149.6,5.0,2,1
153.11,5.0,1,1
153.17,5.0,2,0
153.18,5.0,2,0
153.2,5.0,2,0
153.4,5.0,2,0
153.7,5.0,2,0
162.1,5.0,1,0
162.11,5.0,2,0
162.17,5.0,2,0
162.19,5.0,1,0
162.22,5.0,1,1
162.3,5.0,3,1
162.5,5.0,2,0
162.7,5.0,2,0
162.8,5.0,1,1
17.1,5.0,2,0
17.11,5.0,2,1
172.1,5.0,1,0
172.17,5.0,2,0
172.3,5.0,2,0
172.4,5.0,2,0
173.11,5.0,2,0
173.15,5.0,1,0
173.16,5.0,2,0
173.19,5.0,1,1
173.4,5.0,1,1
173.8,5.0,2,0
188.1,5.0,2,0
188.2,5.0,1,1
188.3,5.0,2,0
188.6,5.0,1,1
188.9,5.0,1,0
189.1,5.0,1,0
189.11,5.0,2,0
189.15,5.0,2,0
189.17,5.0,2,0
189.18,5.0,2,1
189.2,5.0,1,0
189.20,5.0,1,0
189.3,5.0,1,1
189.5,5.0,2,0
189.X,5.0,1,1
2.1,5.0,2,0
2.19,5.0,1,1
20003.2,5.0,2,2
20005.2,5.0,4,4
20005.3,5.0,3,2
20033.11,5.0,2,1
20052.3,5.0,2,1
20082.22,5.0,2,2
20090.20,5.0,2,1
20092.19,5.0,1,0
20105.22,5.0,2,1
20108.20,5.0,2,2
20109.20,5.0,2,1
20118.2,5.0,5,3
20119.2,5.0,2,2
20121.14,5.0,2,2
20121.7,5.0,2,1
20124.1,5.0,1,1
20124.16,5.0,1,1
20124.2,5.0,1,1
20124.3,5.0,2,0
20129.20,5.0,2,1
20133.X,5.0,3,2
20134.X,5.0,3,2
20135.14,5.0,3,1
20136.17,5.0,2,1
20138.1,5.0,2,0
20139.12,5.0,2,1
20139.16,5.0,3,2
20139.17,5.0,2,2
20139.3,5.0,1,1
20139.4,5.0,2,2
20139.5,5.0,2,1
20140.14,5.0,2,1
20140.15,5.0,2,1
20141.12,5.0,2,1
20141.14,5.0,2,1
20141.5,5.0,2,1
20142.18,5.0,1,0
20142.22,5.0,4,4
20143.X,5.0,3,3
20144.14,5.0,3,2
20144.9,5.0,2,1
20145.1,5.0,2,1
20145.10,5.0,2,1
20145.12,5.0,2,1
20145.14,5.0,2,1
20145.4,5.0,2,1
20145.8,5.0,2,1
20145.9,5.0,3,2
20145.X,5.0,3,2
20146.17,5.0,1,1
20146.4,5.0,2,1
20148.1,5.0,3,2
20151.14,5.0,3,3
20151.17,5.0,1,1
20154.4,5.0,3,3
20154.9,5.0,2,1
20157.11,5.0,3,2
20158.1,5.0,2,0
20158.9,5.0,3,2
20159.1,5.0,6,4
20159.14,5.0,2,1
20159.15,5.0,2,1
20159.3,5.0,3,1
20159.4,5.0,5,3
20159.9,5.0,2,2
20160.14,5.0,2,1
20160.17,5.0,2,1
20160.4,5.0,2,1
20160.5,5.0,2,2
20161.1,5.0,2,1
20161.12,5.0,2,1
20161.22,5.0,2,1
20162.12,5.0,2,1
20162.17,5.0,1,1
20162.7,5.0,3,2
20163.1,5.0,2,1
20163.7,5.0,3,2
20163.9,5.0,5,4
20164.1,5.0,4,3
20164.14,5.0,2,1
20164.4,5.0,2,1
20165.15,5.0,2,0
20165.22,5.0,3,2
20165.4,5.0,2,1
20166.12,5.0,2,1
20166.17,5.0,2,1
20166.4,5.0,3,3
20167.22,5.0,4,4
20167.4,5.0,3,3
20168.11,5.0,3,3
20168.16,5.0,2,1
20168.17,5.0,2,2
20168.19,5.0,2,0
20168.4,5.0,2,1
20169.10,5.0,2,1
20169.14,5.0,2,2
20169.9,5.0,2,1
20170.17,5.0,2,0
20171.12,5.0,2,1
20171.16,5.0,4,2
20171.17,5.0,2,1
20172.20,5.0,6,6
20172.3,5.0,4,3
20173.19,5.0,2,1
20177.20,5.0,2,1
20178.20,5.0,2,1
20183.20,5.0,2,1
20184.22,5.0,2,1
20186.22,5.0,2,1
204.2,5.0,1,0
207.10,5.0,3,1
207.12,5.0,2,0
207.15,5.0,2,0
207.17,5.0,2,0
207.18,5.0,1,1
207.4,5.0,2,0
207.5,5.0,2,1
217.17,5.0,1,0
219.2,5.0,1,1
219.5,5.0,1,0
220.11,5.0,2,0
220.17,5.0,2,0
220.19,5.0,1,1
220.2,5.0,2,0
220.20,5.0,2,0
220.7,5.0,2,0
226.1,5.0,2,0
227.1,5.0,2,0
227.2,5.0,2,0
227.4,5.0,2,0
247.1,5.0,2,1
247.11,5.0,2,0
247.20,5.0,1,1
247.4,5.0,1,1
247.X,5.0,2,1
257.1,5.0,2,0
257.10,5.0,1,0
257.17,5.0,2,0
26.11,5.0,2,0
26.17,5.0,1,1
26.4,5.0,2,1
26.8,5.0,2,0
268.3,5.0,1,0
270.11,5.0,1,0
273.17,5.0,2,0
273.6,5.0,2,1
275.1,5.0,2,0
275.2,5.0,2,1
294.1,5.0,2,0
30001.3,5.0,4,2
30001.8,5.0,1,1
30011.11,5.0,3,1
30011.13,5.0,1,0
30011.15,5.0,1,1
30011.2,5.0,2,1
30011.22,5.0,3,2
30011.7,5.0,3,1
30011.8,5.0,2,1
30016.6,5.0,4,3
30020.4,5.0,3,2
30022.12,5.0,1,1
30022.17,5.0,1,1
30022.9,5.0,3,2
30023.17,5.0,2,1
30023.9,5.0,2,1
30024.17,5.0,1,1
30024.4,5.0,2,1
30024.6,5.0,2,1
311.1,5.0,1,1
311.11,5.0,1,0
311.15,5.0,2,0
311.16,5.0,2,0
311.20,5.0,1,0
311.7,5.0,2,0
314.1,5.0,2,0
314.5,5.0,1,0
314.8,5.0,1,0
316.1,5.0,1,0
316.10,5.0,1,0
316.12,5.0,1,1
316.15,5.0,2,0
316.20,5.0,1,0
316.7,5.0,2,0
329.11,5.0,1,1
329.17,5.0,2,0
329.18,5.0,1,1
